nakama-1  | {"level":"debug","ts":"2026-04-01T19:32:42.362Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","cid":"26","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:32:42.363Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","envelope":"cid:\"26\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:32:45.375Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","cid":"16","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:32:45.375Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","envelope":"cid:\"16\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:32:53.370Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","cid":"27","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:32:53.370Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","envelope":"cid:\"27\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:32:56.361Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","cid":"17","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:32:56.361Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","envelope":"cid:\"17\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:04.364Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","cid":"28","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:04.365Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","envelope":"cid:\"28\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:07.371Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","cid":"18","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:07.371Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","envelope":"cid:\"18\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:15.367Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","cid":"29","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:15.367Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","envelope":"cid:\"29\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:18.372Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","cid":"19","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:18.372Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","envelope":"cid:\"19\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:26.366Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","cid":"30","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:26.366Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","envelope":"cid:\"30\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:29.370Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","cid":"20","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:29.370Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","envelope":"cid:\"20\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:37.375Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","cid":"31","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:37.376Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","envelope":"cid:\"31\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:40.376Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","cid":"21","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:40.376Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","envelope":"cid:\"21\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:48.369Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","cid":"32","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:48.369Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","envelope":"cid:\"32\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:51.447Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","cid":"22","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:51.448Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"a53ef542-85f7-4aeb-942b-321726f39b08","sid":"2dd284ad-2e01-11f1-a25b-7106fdcb5b46","envelope":"cid:\"22\" pong:{}"}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:59.359Z","caller":"server/pipeline.go:65","msg":"Received *rtapi.Envelope_Ping message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","cid":"33","message":{"Ping":{}}}
nakama-1  | {"level":"debug","ts":"2026-04-01T19:33:59.359Z","caller":"server/session_ws.go:396","msg":"Sending *rtapi.Envelope_Pong message","uid":"26da8403-7060-43f5-8530-f76722d1462b","sid":"f52898d3-2e00-11f1-a25b-7106fdcb5b46","envelope":"cid:\"33\" pong:{}"}
